Keebs,8 days ago (edited),OMG Lauv sings so good live it sounds like the actual song! He’s literally the best :),44
Cindy Roquiño,8 days ago,Lauv has never made a bad song. I lauv you so much! ,100
IVxN,8 days ago,"Lauv NEVER MISSES when a new track releases. A huge inspiration to me to create music. I’ll be on this type of level one day, maybe we can create a track together and take over the charts. I believe it’s possible.",51
Raghvendra Pratap Singh,8 days ago,"I'm so in love, I'm so in love",I don't ever wanna stop this ride that we're on
정태♡v.v네,8 days ago,Your singing voice is like a treasure.,42
Sophia Belbis,7 days ago,How is it that my worst day today was easily erased when I listened to this acoustic version?🥹Thank you Lauv,5
Uzayr Dinath,8 days ago,"Ari, always making the most beautiful songs. Your first album was perfect and I just know somehow your next one will be even better 🥹",9
Park Hobi,8 days ago,Your songs are always so touching ️,17
kushagra nagpal,8 days ago,"Lauv I am pouring my heart out while writing this comment! I truly love your songs and they just somehow connect.. You are my Spotify's top artist for the past 2-3 years now... Believe me when I say that your songs are filled in my 'liked songs' playlist! I just wanna thank you for making the world a better place with your music. I hope you never ever feel sad or depressed again and if you ever do, always remember that I am here to talk any time you want. ",Read more
Brittneyyy Matela,8 days ago,Can’t wait for the album! ,18
Aditi Singh,8 days ago,The fact that he made this song for his girlfriend made this song more beautiful ️️,He let out all his emotions...
YaMeRo!,8 days ago (edited),"He sounds so euphonious that he doesn't even need autotune, infact autotune actually needs LAUV!! LoL ",16
Kelly Freitas,8 days ago,"Ele merece mais reconhecimento, canta tão bem e suas músicas são tão boas",6
Nikki Hoshimi,8 days ago,Love for Lauv!,27
JUIJUI4i,8 days ago,Lauv never fails to make me love his songs ,2
Tina Miles,8 days ago,"You move my soul, Lauv. Thank you for being you! What a gift you have to share with the world!",2
jas-the-shrimp,8 days ago,My guy changed from blue theme to rainbow and now green,And he slays in all
Kayeh Relao,7 days ago,An amazing artist who doesn't need any autotune!! STAN LAUV♡,2
