,id,username,text
0,17883376624928572,ayussh_30,♥️🔥
1,17892289309758864,amaanswaleh,Hot
2,17900079379643356,__princy_francis_lakra_123,Wow that's amazing💞
3,17888403631792689,manpreetz24,Look bhai 🔥🔥🔥
4,18095741743203250,_mansisood_,🔥🔥
5,17864890142224063,aditi_245,🔥🔥🔥
6,17920877491494533,aditi_245,cuteee😍😍
7,17896309009724549,__hot.teens__,Wow😍
8,17871095804118072,thisisjyxti,Boiii🔥
9,17876103830007824,thisisjyxti,Damnn❤️❤️
10,18176813830036740,isaakshigoel,Oooo wowww 🔥🔥🔥
11,17886905518855134,thelegitimatelyinsane,Amazing 😍😍
12,17923290238477463,thelegitimatelyinsane,Woah🔥🔥
13,17896373782705855,_x3.mystickchubbycheeks._,He's so cute
14,17861462312317618,thatsmilecurator,He looks amazing
15,17893394359739796,amisha_bhatia__,This is so amazingg ❤️
16,17887383334816810,thefashionincentive,Handsome🔥
17,18181733248005936,_tushar_pol,Classy🔥
18,18163015711075828,_tushar_pol,Bruh🔥🔥
19,17909524705551499,manisha.kujurr,Wow those eyes are to die for🙈😍
20,18094838356204532,gurrleeenkaurr,Amazing one 🔥
21,17865124547196640,themanavsoni,He is dope 🙌
22,17923616617477932,aasthaaagrawal,😍😍😍
23,17947368343391014,aasthaaagrawal,Woww
24,18170635570067475,tfbhoom,His attitude 😍😍
