tweets,likes,time,source,name,followers_count,friend_count,retweets
"RT @forbesjapan: 魅力的なサウナを軸に事業を拡大し続け、全国の旅行客から人気を集めるホテルがある。佐賀県にある御船山楽園ホテルだ。

#サウナ　#サウナシュラン　#御船山楽園ホテル

→「殿堂入りサウナ」でV字回復　御船山楽園ホテルの魅力
https://t.c…",0,2022-03-07 13:26:33+00:00,Twitter for iPhone,Uchida Yu,14226,770,4
"3/7はサウナの日。
サウナブームですが、サウナで一躍有名になった佐賀県の御船山楽園ホテル（らかんの湯）について小原社長にお話を伺い、想いと軌跡をお伺いしました。
最近のサウナは観光コンテンツの１つですね。
https://t.co/YOwa8Fkyxp

#サウナの日 #サウナ #サ道 #サウナイキタイ #sauna",1,2022-03-07 01:03:30+00:00,Twitter Web App,Uchida Yu,14226,770,1
"日比谷のミッドタウンに終日いたら、東京マラソンを上からも見学できた。

#東京マラソン https://t.co/0mMhlUUbze",0,2022-03-06 09:30:59+00:00,Twitter for iPhone,Uchida Yu,14226,770,0
"東京マラソンを横目に、ミッドタウン日比谷で熱ベンのサミット。
オンラインでも視聴できます！

地方創生ベンチャーサミット2022
https://t.co/AeY8I4xqnZ

.@netsuiorjp https://t.co/g8rXSIBiYO",0,2022-03-06 03:46:23+00:00,Twitter for iPhone,Uchida Yu,14226,770,0
"RT @forbesjapan: 魅力的なサウナを軸に事業を拡大し続け、全国の旅行客から人気を集めるホテルがある。佐賀県にある御船山（みふねやま）楽園ホテルだ。

👉「殿堂入りサウナ」でV字回復　御船山楽園ホテルの魅力
https://t.co/2hoy6sIOJ9",0,2022-03-06 03:19:26+00:00,Twitter for iPhone,Uchida Yu,14226,770,11
@iamsea_s コリキではなく？すごいね！笑,0,2022-03-01 16:53:00+00:00,Twitter for iPhone,Uchida Yu,14226,770,0
"まわりの評判の良さをきいて読んでみましたが、描写が鮮明でとても良い本でした。

Youtubeで当時...『嫌われた監督 落合博満は中日をどう変えたのか』鈴木 忠平 ☆5 https://t.co/lENf1gM7ke",0,2022-02-27 12:30:04+00:00,ブクログ(booklog.jp),Uchida Yu,14226,770,0
"業務効率化を図り、売上を向上させられるのが観光DXなんだなと改めて思う事例ですね。
「ノーショーがほぼゼロになり、レジ周りのオペレーション改善による回転率アップと合わせ、対昨年比で平均157％、最大272％の月商アップにつながりました」というのが驚異的ですね。」
https://t.co/ybHKO3S8J1",2,2022-02-16 04:43:05+00:00,Twitter Web App,Uchida Yu,14226,770,0
"この前Tipy records innにお邪魔したのに、ローカルマップをもらいそびれた。。

投げ銭どりゃ！ https://t.co/MaciPd1kkn",2,2022-02-13 04:54:52+00:00,Twitter for iPhone,Uchida Yu,14226,770,1
"フォーチュンアクアリウム？！
横浜に水族館あることあまり知られてないよね。ぜひ、行きたい。

#水族館 #横浜 #横浜開運水族館 https://t.co/jphn0183pb",4,2022-02-09 13:19:00+00:00,Twitter for iPhone,Uchida Yu,14226,770,1
"3回目ははじめて！

Wordle 227 3/6

⬜⬜🟩⬜⬜
🟨⬜⬜🟨🟨
🟩🟩🟩🟩🟩",0,2022-01-31 15:18:22+00:00,Twitter for iPhone,Uchida Yu,14226,770,0
@mihozono これはすごい。,1,2022-01-25 02:44:14+00:00,Twitter for iPhone,Uchida Yu,14226,770,0
