tweets,likes,time,source,name,followers_count,friend_count,retweets
The live-action Harem Marriage show rounds out its supporting cast. https://t.co/flf4rrTfp2,5,2021-12-25 11:15:05+00:00,Anime News Network news feed,Anime News Network,1260635,39,1
The Odd Taxi television anime gets a film on April 1 with the main cast and staff returning from the series! https://t.co/pWTMdMN3bO,18,2021-12-25 11:10:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,4
The cute five-minute CG short is only available until January 4. https://t.co/D5u8nNro2k,33,2021-12-25 08:50:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,4
Vaundy and milet will perform the new theme songs for Ranking of Kings starting on January 6. https://t.co/XxM5BydWEF,81,2021-12-25 08:21:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,8
"Here's the latest video for Cloverworks' upcoming original anime, Tokyo Twenty Fourth Ward. https://t.co/F4ueiBhhrx",62,2021-12-25 07:54:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,3
"Also check out the cute new visual for the upcoming CUE! anime, which centers on 16 aspiring voice actresses. https://t.co/h9R0ZV2QyA",45,2021-12-25 07:33:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,5
No Game No Life author Yuu Kamiya reported in the latest volume that the novel series is entering its final stage! https://t.co/tn1ABrQyGd,247,2021-12-25 02:15:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,26
"When you hear the phrase “Idol Anime”, what do you think? You probably think of a combination of three things: high pitched voices, AKB48, and lots of dancing.  Let us explain What Is Idol Anime… WATCH NOW: https://t.co/QNLRETnkXs https://t.co/5kYiP3rgUb",101,2021-12-25 02:00:01+00:00,Twitter Web App,Anime News Network,1260635,39,11
That Time I Got Reincarnated as a Slime author plans to end the light novel series in three more volumes! https://t.co/OfN2Ln8K7e,185,2021-12-25 01:58:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,29
"The You and Me (Kimi to Boku) manga resumes in January, but it ends in March! https://t.co/CqvHZG5die",82,2021-12-25 01:51:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,11
"Magi: The Adventure of Sinbad artist Yoshifumi Ōtera launches a manga of Skill Build Online, a web novel about a pro FPS player trying out an MMO for the first time! https://t.co/qgvIEMZWqv",87,2021-12-24 22:53:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,12
Hinamatsuri creator Masao Ohtake launches a manga mini-series and a full-fledged manga series next year! https://t.co/OF6cKknKQ2,92,2021-12-24 22:45:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,8
Übel Blatt's Etorouji Shiono launches a robot comedy manga on January 16! https://t.co/tStvVRBXpO,55,2021-12-24 22:31:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,4
"From celebrating friends and family to love confessions and wacky antics, today we check out five wonderfully sweet Christmas themed anime episodes that would even get the Grinch to smile! WATCH NOW: https://t.co/PQstBu8oBT https://t.co/r5ij0myUAM",97,2021-12-24 22:00:02+00:00,Twitter Web App,Anime News Network,1260635,39,14
"With Christmas just a day away, we take a look back at the phenomenal anime Christmas movie Tokyo Godfathers written by the great Keiko Nobumoto, who passed away earlier this month. WATCH NOW: https://t.co/l4RZN3ezDy https://t.co/N1N1qm6Q7n",118,2021-12-24 19:00:00+00:00,Twitter Web App,Anime News Network,1260635,39,22
"What is Twisted Wonderland? Heidi introduces the mobile game with designs by Black Butler's Yana Toboso. She also bids farewell to Seattle's Gameworks, a convention hangout and arcade mainstay. https://t.co/symrJ0vIFO",93,2021-12-24 18:00:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,12
We're getting a TV anime AND an original video anime drafted by the manga creator! https://t.co/VCNgXcusOS,151,2021-12-24 17:33:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,16
[Review] What started as a cute workplace comedy about anthropomorphic animals just trying to get by as Millennials in Japan has become a veritable soap opera of rocky relationships and biting social commentary. https://t.co/4I9NYqXE2y,89,2021-12-24 17:00:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,9
Crunchyroll also streams the Lord El-Melloi II's Case Files: Rail Zeppelin Grace note TV anime's New Year's special! https://t.co/2iQY0yWjYe,102,2021-12-24 15:25:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,14
The secnd Space Battleship Yamato 2205 film's full trailer previews the antagonist Meldarz! https://t.co/8xo4ZOmhp1,89,2021-12-24 15:11:03+00:00,Anime News Network news feed,Anime News Network,1260635,39,5
