duration,names,views,time
Tickets for my All 4 Nothing tour are on sale nowwww!!,11K views,12 days ago
Can’t wait for more of these!!!,22K views,3 weeks ago
23:36,Lauv - YouTube Premium Afterparty,Streamed 3 weeks ago,Premium
3:17,Lauv - All 4 Nothing (I'm So In Love) [Official Video],2.9M views,3 weeks ago
How soon is soon?,56K views,1 month ago
What’s good Avril Lavigne,68K views,1 month ago
Good morning doggies,26K views,2 months ago
2:41,Lauv - 26 [Official Video],824K views,2 months ago
Can’t believe they didn’t end up using it :/,57K views,2 months ago
2:39,Lauv - 26 [Official Audio],1.4M views,3 months ago
26 by lauv out january 28th!!!!,40K views,3 months ago
"NEXT ALBUM IS DONE, FIRST SONG COMING ON THE 28TH. ITS CALLED “26”. YA DUH, LAUV IS BACK!!!!",40K views,3 months ago
1:00:44,"Breaking Modern Loneliness, May 2021",470K views,11 months ago
3:16,Lauv - 2021 [Official Audio],1.5M views,1 year ago
2:26,Lauv & Conan Gray - Fake [Acoustic],1M views,1 year ago
1:28,Lauv & Conan Gray - Fake [Behind The Scenes of the Music Video],144K views,1 year ago
47:44,Breaking Modern Loneliness: Conversations on Mental Health (Finding Mental Health Online),20K views,1 year ago
2:43,Lauv & Conan Gray - Fake [Official Music Video],14M views,1 year ago
40:29,Breaking Modern Loneliness: Conversations on Mental Health (Finding Mental Health in Community),33K views,Streamed 1 year ago
1:09:57,Breaking Modern Loneliness: Conversations on Mental Health (Finding Mental Health in Isolation),215K views,Streamed 1 year ago
1:17,Breaking Modern Loneliness: World Mental Health Day,72K views,1 year ago
2:33,Lauv - Love Somebody [Acoustic for Digital FADER FORT],890K views,1 year ago
2:24,Lauv - Love Somebody [Official Video],7.1M views,1 year ago
2:22,Lauv - Dishes (Acoustic) [Official Audio],308K views,1 year ago
