duration,name,views,time
1:00:44,"Breaking Modern Loneliness, May 2021",467K views,7 months ago
3:16,Lauv - 2021 [Official Audio],1.5M views,1 year ago
2:26,Lauv & Conan Gray - Fake [Acoustic],967K views,1 year ago
1:28,Lauv & Conan Gray - Fake [Behind The Scenes of the Music Video],140K views,1 year ago
47:44,Breaking Modern Loneliness: Conversations on Mental Health (Finding Mental Health Online),19K views,1 year ago
2:43,Lauv & Conan Gray - Fake [Official Music Video],13M views,1 year ago
40:29,Breaking Modern Loneliness: Conversations on Mental Health (Finding Mental Health in Community),32K views,Streamed 1 year ago
1:09:57,Breaking Modern Loneliness: Conversations on Mental Health (Finding Mental Health in Isolation),214K views,Streamed 1 year ago
1:17,Breaking Modern Loneliness: World Mental Health Day,70K views,1 year ago
2:33,Lauv - Love Somebody [Acoustic for Digital FADER FORT],862K views,1 year ago
2:24,Lauv - Love Somebody [Official Video],6.7M views,1 year ago
2:22,Lauv - Dishes (Acoustic) [Official Audio],294K views,1 year ago
0:58,Lauv - YouTube Berlin Event [Recap],43K views,1 year ago
2:39,Lauv - Dishes [Official Video],2.4M views,1 year ago
2:23,Lauv - Love Somebody [Official Audio],1.9M views,1 year ago
1:59,Lauv - Miss Me (Demo) [Official Audio],934K views,1 year ago
3:27,Lauv - Mine (You Can't Find Love in Mollywood) [Official Audio],1.8M views,1 year ago
43:02,Breaking Modern Loneliness: mxmtoon [Episode 1],73K views,1 year ago
28:56,Breaking Modern Loneliness: Jeremy Zucker [Episode 3],96K views,1 year ago
34:41,Breaking Modern Loneliness: Dr. Vivek Murthy [Episode 2],19K views,1 year ago
4:09,Lauv - El Tejano (feat. Sofía Reyes) [Official Video],4.6M views,1 year ago
3:05,Lauv - Love Like That [Official Audio],2.6M views,1 year ago
58:39,Breaking Modern Loneliness: A Conversation on Mental Health,266K views,Streamed 1 year ago
4:07,Lauv - Modern Loneliness (MTV Live Performance),521K views,1 year ago
